alpha,theta_ab,a,b,S,valid
45.0,75.0,2.984,11.135,33.22257947932733,False
45.0,76.0,2.788,11.182,31.174637468307232,False
45.0,77.0,2.591,11.222,29.0737697905691,False
45.0,78.0,2.392,11.255,26.926389681101327,False
45.0,79.0,2.2,11.319,24.905844999394073,False
45.0,80.0,2.012,11.411,22.961030067351814,False
45.0,81.0,1.821,11.495,20.927251881264226,False
45.0,82.0,1.626,11.57,18.812278421472676,False
45.0,83.0,1.429,11.636,16.62422526759934,False
45.0,84.0,1.229,11.693,14.371521805478439,False
45.0,85.0,1.027,11.742,12.062875742067035,False
45.0,86.0,0.824,11.782,9.707236132675282,False
45.0,87.0,0.619,11.813,7.313755127183707,False
45.0,88.0,0.413,11.836,4.891748644310557,False
45.0,89.0,0.207,11.849,2.4506561852534174,False
45.0,90.0,0.0,11.853,8.603368027601011e-15,False
